date,open,high,low,close,volume
2026-05-21,278.66,283.68,277.15,282.49,31680475
2026-05-22,284.1,286.61,283.67,285.12,23849296
2026-05-26,288.39,290.55,287.74,290.51,24506452
2026-05-27,291.16,291.72,289.31,290.37,24519854
2026-05-28,289.64,292.74,287.98,292.03,23710563
2026-05-29,291.38,291.41,288.33,290.43,26961014
2026-06-01,288.37,290.61,286.27,288.98,23826067
2026-06-02,288.46,291.865,288.4,291.66,18378829
2026-06-03,289.99,290.01,286.78,287.67,29167270
2026-06-04,287.56,292.875,286.66,292.01,24307765
2026-06-05,289.1,289.395,280.15,281.65,35812835
2026-06-08,285.51,286.84,283.575,284.11,27277379
2026-06-09,287.18,290.87,277.62,285.02,41761260
2026-06-10,284.59,289,281.76,282.05,39285001
2026-06-11,284.44,291.06,284.07,290.41,41468782
2026-06-12,291.63,295.72,290.31,292.95,34415247
2026-06-15,296.56,297.91,293.92,294.64,23888987
2026-06-16,295.5,296.8,291.58,292.08,23807721
2026-06-17,292.47,295.82,288.93,289.88,39920145
2026-06-18,294.55,295.97,291.42,295.59,32037214
2026-06-22,297.13,299.49,296.16,298.18,22394562
2026-06-23,293.26,297.75,292.4,295.32,26377982
2026-06-24,295.88,299.69,294.69,296.69,27972644
2026-06-25,299.52,301.5,296.73,298.91,26932127
2026-06-26,296.6,300.03,295.73,299.83,37482792
2026-06-29,298.11,299.16,294.68,298.97,23914534
2026-06-30,298.56,300.98,297.44,300.45,21887803
2026-07-01,299.93,302.72,298.92,299.32,20183565
2026-07-02,300.54,302.23,294.98,297.58,20727896
2026-07-06,297.75,300.41,297.62,298.9,18145752
2026-07-07,299.17,299.972,295.18,296.19,17603257
2026-07-08,294.03,295.1,290.68,293.48,23224179
2026-07-09,295.27,297.88,294.9,297.24,16057892
2026-07-10,297.69,298.21,293.62,295.99,15450171
2026-07-13,295.06,295.78,292.6,293.48,18933749
2026-07-14,295.49,296.065,293.75,294.51,18073255
2026-07-15,295.25,297.14,294.15,295.77,18508543
2026-07-16,294.65,297.81,294.345,295.59,22942594
2026-07-17,292.03,296.13,291.64,294.04,28126603
2026-07-20,295.01,295.99,292.18,292.31,20400771
2026-07-21,293.43,296.75,292.68,296.54,17187245
2026-07-22,295.7,296.44,293.41,293.79,18556229
2026-07-23,290.87,293.01,290.17,292.09,27518510
2026-07-24,293.41,293.97,290.48,291.17,19407181
2026-07-27,293.98,295.52,291.11,292.91,19095352
2026-07-28,293.16,293.77,290.375,293.37,20177132
2026-07-29,292.49,293.665,288.26,288.57,32605369
2026-07-30,291.15,292.84,288.96,292.59,21466112
2026-07-31,293.56,293.95,287.83,291.2,27375144
2026-08-03,292.9,296.66,292.4,296.22,22939717
2026-08-04,297.59,301.18,297.22,301.37,10486819
